country,blue,grey,population
Albania,14.91134234,134.2020811,3085
Algeria,4.322757204,27.66080061,30767
Angola,0.547577653,4.92819888,14610
Antigua and Barbuda,3.875968992,34.88372093,77.4
Argentina,13.24878575,73.502273,37060
Armenia,27.2859686,190.9684082,3090
Australia,18.2194617,39.46510243,19320
Austria,9.184218038,32.4833184,8057
Azerbaijan,6.388483563,48.62940823,8155
Bahamas,0,0,306
Bangladesh,2.828832395,25.45949156,141967
Barbados,11.85770751,106.7193676,253
Belarus,6.480493714,19.48884868,10030
Belgium,7.14354389,26.92211514,10401
Belize,3.927729772,32.75824746,255
Benin,0.601173021,5.410557185,6820
Bermuda,0,0,63.0
Bolivia,2.140614594,15.44624584,8409
Bosnia and Herzegovina,0,0,3632
Botswana,4.577587206,41.19828485,1726
Brazil,6.856519626,48.6325892,175308
Brunei Darussalam,0,0,337
Bulgaria,13.84055431,88.45182354,7988
Burkina Faso,0.870278322,7.832504895,11950
Burundi,0.736653788,6.62988409,6652
Cambodia,0.467504539,4.207540848,12834
Cameroon,1.119340335,10.07406302,16081
Canada,29.10421186,112.8881112,30889
Cape Verde,0.361500226,3.253502033,443
Central African Republic,0.530180526,4.771624738,3772
Chad,0.464344172,4.179097547,8614
Chile,9.165962006,24.07396905,15492
China,5.287312962,41.91369515,1277208
Colombia,13.44354211,120.991879,40094
Comoros,0.675865953,6.082793579,710
"Congo, Dem Republic",0.365015388,3.285138495,52053
"Congo, Republic",1.033524966,9.301724695,3096
Costa Rica,19.93489616,176.8580364,3963
Côte d'Ivoire,1.262749465,11.36474518,17422
Croatia,0,0,4521
Cuba,14.0655853,89.57125984,11091
Cyprus,8.534580857,60.97018668,791
Czech Republic,10.26563554,39.09127477,10228
Denmark,7.678621594,17.32339915,5340
Dominica,0,0,68.1
Dominican Republic,12.24622782,101.8913562,8901
East Timor   ,0,0,868
Ecuador,17.14114765,154.2703288,12368
Egypt,7.469249242,67.22324318,70958
El Salvador,5.38312726,48.44814534,5945
Eritrea,0.818633147,7.36769832,3787
Estonia,6.556421651,28.24438815,1373
Ethiopia,0.500663793,4.505974137,66512
Fiji Islands,1.244400199,11.19960179,804
Finland,6.561299909,29.62649696,5182
France,10.56607583,37.37321579,59436
French Polynesia,0,0,238
Gabon,4.818116117,43.36304505,1245
Gambia,0.528341762,4.755075855,1325
Georgia,15.25456048,137.2910443,4720
Germany,7.073392842,19.86879767,82139
Ghana,1.187798529,10.69018676,19785
Greece,11.61153473,51.36881115,10937
Grenada,0,0,102
Guatemala,1.139111843,8.440822052,11412
Guinea,1.41788664,12.360975,8463
Guinea-Bissau,1.734932488,15.6143924,1326
Guyana,3.952048478,35.56843631,759
Haiti,0.573433952,5.160905567,8719
Honduras,1.111216941,10.00095247,6299
Hungary,6.960920802,37.34074512,10200
Iceland,17.71793055,75.71872515,282
India,4.969135524,44.72221971,1051290
Indonesia,3.202613178,28.47873808,206706
Iran,9.232001692,83.08801522,67158
Ireland,6.720777542,30.34644223,3869
Israel,10.27062276,17.23188644,6134
Italy,14.02978069,67.6603532,57521
Jamaica,5.42972386,48.86751474,2578
Japan,13.72875298,69.47338393,126741
Jordan,5.877605375,31.37045241,4956
Kazakhstan,3.891717897,35.02546107,15160
Kenya,1.471725645,13.11634975,31935
Kiribati,0,0,85.0
"Korea, Dem People's Rep",7.827839997,70.45055997,22867
"Korea, Republic",14.25403182,47.67254305,46443
Kuwait,17.78814124,160.0932712,2252
Kyrgyzstan,6.449532409,52.46304908,4962
Laos,2.39326939,21.53942451,5432
Latvia,6.754759995,33.03055394,2369
Lebanon,9.956766671,37.65601934,3817
Lesotho,1.058033116,9.522298048,1890
Liberia,1.075153209,9.676378884,2790
Libya,11.27145734,101.4431161,5412
Lithuania,5.99760096,28.68884433,3501
Luxembourg,5.593784684,7.326429999,451
Macedonia,10.69385725,93.20418648,2011
Madagascar,2.704547503,24.34092753,15529
Malawi,1.249396125,11.24456513,12006
Malaysia,6.479610541,58.31649487,23458
Maldives,1.074954296,6.851801918,274
Mali,5.513503411,49.6215307,10701
Malta,10.23017903,81.00841831,391
Mauritania,5.664438654,50.97994789,2648
Mauritius,17.83927976,143.4354827,1200
Mexico,13.61581559,90.38919945,99810
Moldova,5.430355688,35.84018669,4051
Mongolia,3.735524841,33.61972357,2409
Morocco,4.246958936,21.8542821,28962
Mozambique,0.377136885,3.394231961,18561
Myanmar,0.879328279,7.913954511,46627
Namibia,3.969332826,35.72399543,1839
Nepal,1.214230785,10.92807706,24707
Netherlands,3.072697515,6.545116812,15947
New Caledonia,0,0,217
New Zealand,26.11701447,73.75209495,3906
Nicaragua,3.707317073,33.36585366,5125
Niger,0.798431526,7.185883731,11272
Nigeria,1.334398747,12.00958872,126649
Norway,11.1071619,40.74737449,4502
Occ. Palestinian Terr.,5.336520551,48.02868496,3221
Pakistan,2.182884318,19.64595886,149802
Panama,18.4619516,105.5265905,2979
Paraguay,1.849625451,15.28240694,5407
Peru,6.422583025,27.54456423,26158
Philippines,7.452254218,67.07028796,78473
Poland,5.467610914,30.4030545,38408
Portugal,10.50747198,59.36501673,10278
Romania,7.650763039,58.52855857,22089
Russian Federation,9.172911434,82.55620291,146082
Rwanda,0.465362789,4.188265102,7736
Saint Kitts and Nevis,0,0,46.4
Saint Lucia,7.936507937,71.42857143,158
Saint Vincent/Grenadines,0,0,108
Samoa,0,0,176
Sao Tome and Principe,0,0,142
Saudi Arabia,10.08799765,90.79197886,21114
Senegal,0.974639483,7.949203726,10055
Serbia and Montenegro,7.269677059,65.42709353,10730
Seychelles,9.925558313,89.33002481,80.6
Sierra Leone,0.453720508,4.083484574,4408
Slovakia,7.961857472,48.67247738,5377
Slovenia,10.09942109,67.50309689,1987
Solomon Islands,0,0,422
South Africa,8.640264874,52.41583227,45184
Spain,11.72852505,24.99750202,40841
Sri Lanka,1.588688538,14.29819684,18884
Sudan,2.810511882,25.29460694,35225
Suriname,6.37213254,57.34919286,471
Swaziland,2.236511043,20.12859938,1073
Sweden,12.23138641,30.47985729,8912
Switzerland,8.572416177,22.26527373,7233
Syria,8.458139328,72.17619585,16860
Tajikistan,7.095172058,63.85654852,6201
Tanzania,1.517892117,13.66102906,34719
Thailand,4.349780129,39.14802116,62969
Togo,1.678010521,15.10209469,5304
Trinidad and Tobago,16.19620546,141.7259564,1297
Tunisia,3.849114704,23.2207632,9483
Turkey,8.317314525,54.40199974,66849
Turkmenistan,9.241534095,83.17380685,4545
Uganda,0.52079369,4.687143206,24962
UK,3.488701327,4.091501771,59334
Ukraine,9.356225994,84.20603395,48738
United Arab Emirates,18.52964142,166.7667728,3330
Uruguay,2.419037828,21.77134045,3307
USA,22.64687418,88.44670538,288958
Uzbekistan,11.12646411,100.138177,24896
Vanuatu,0,0,194
Venezuela,15.46253683,139.1628315,24640
Viet Nam,6.995991827,62.96392644,79188
Yemen,1.470103394,13.11444156,18502
Zambia,2.742679882,24.68411894,10574
Zimbabwe,4.766374804,42.89737323,12357
World,6.827924794,45.82050736,6154564
